Disaggregation,Number of indicators,Number of values
Activity,2,6
Age Group,2,3
Age,11,25
Area,1,4
Body Mass Index,1,3
Broad citizenship,1,4
Citizenship,2,4
Court Level,1,4
Decision type,1,3
Education Level,1,3
Education level,3,5
EST type,1,3
Food waste sector,1,4
Form of exploitation,1,4
Funding Channels,1,3
IHR Capacity,1,15
Institution,1,3
Level of Difficulty,1,3
Level of digital skills,1,9
Location,1,3
Migratory Status,1,3
Mobile Network,1,4
Outcome,1,3
Particulate Matter Type,1,2
Policy Domains,1,7
Poverty Status,1,3
Pregnancy status,1,3
Product,1,6
Sector,1,2
Sex,36,7
Skill,1,3
Source,2,18
Technology,3,9
Type of Occupation,2,9
Type of offence,1,3
Type of product,1,2
Type of Skill,1,2
