Year,Series,Sex,Rating,Institution,Value
2015,1. Proportion of population who say that overall they are satisfied with the quality of healthcare services,Both Sexes,,,83
2015,1. Proportion of population who say that overall they are satisfied with the quality of healthcare services,Females,,,82
2015,1. Proportion of population who say that overall they are satisfied with the quality of healthcare services,Males,,,83
2024,1. Proportion of population who say that overall they are satisfied with the quality of healthcare services,Both Sexes,,,77
2024,1. Proportion of population who say that overall they are satisfied with the quality of healthcare services,Females,,,76
2024,1. Proportion of population who say that overall they are satisfied with the quality of healthcare services,Males,,,77
2018,2. Average rating scores on government services given by the public,,Excellent,,83
2019,2. Average rating scores on government services given by the public,,Excellent,,88
2020,2. Average rating scores on government services given by the public,,Excellent,,91
2021,2. Average rating scores on government services given by the public,,Excellent,,83
2022,2. Average rating scores on government services given by the public,,Excellent,,85
2023,2. Average rating scores on government services given by the public,,Excellent,,92
2024,2. Average rating scores on government services given by the public,,Excellent,,94
2025,2. Average rating scores on government services given by the public,,Excellent,,93
2018,2. Average rating scores on government services given by the public,,Average,,5
2019,2. Average rating scores on government services given by the public,,Average,,5
2020,2. Average rating scores on government services given by the public,,Average,,3
2021,2. Average rating scores on government services given by the public,,Average,,8
2022,2. Average rating scores on government services given by the public,,Average,,8
2023,2. Average rating scores on government services given by the public,,Average,,6
2024,2. Average rating scores on government services given by the public,,Average,,3
2025,2. Average rating scores on government services given by the public,,Average,,3
2018,2. Average rating scores on government services given by the public,,Poor,,12
2019,2. Average rating scores on government services given by the public,,Poor,,7
2020,2. Average rating scores on government services given by the public,,Poor,,6
2021,2. Average rating scores on government services given by the public,,Poor,,9
2022,2. Average rating scores on government services given by the public,,Poor,,7
2023,2. Average rating scores on government services given by the public,,Poor,,2
2024,2. Average rating scores on government services given by the public,,Poor,,3
2025,2. Average rating scores on government services given by the public,,Poor,,4
2015,3. Trust in the institutions,,,The European Union,53
2016,3. Trust in the institutions,,,The European Union,52
2017,3. Trust in the institutions,,,The European Union,56
2018,3. Trust in the institutions,,,The European Union,52
2019,3. Trust in the institutions,,,The European Union,44
2020,3. Trust in the institutions,,,The European Union,45
2021,3. Trust in the institutions,,,The European Union,64
2022,3. Trust in the institutions,,,The European Union,61
2023,3. Trust in the institutions,,,The European Union,64
2024,3. Trust in the institutions,,,The European Union,51
2025,3. Trust in the institutions,,,The European Union,52
2026,3. Trust in the institutions,,,The European Union,60
2015,3. Trust in the institutions,,,The Government,62
2016,3. Trust in the institutions,,,The Government,55
2017,3. Trust in the institutions,,,The Government,58
2018,3. Trust in the institutions,,,The Government,51
2019,3. Trust in the institutions,,,The Government,51
2020,3. Trust in the institutions,,,The Government,58
2021,3. Trust in the institutions,,,The Government,49
2022,3. Trust in the institutions,,,The Government,47
2023,3. Trust in the institutions,,,The Government,63
2024,3. Trust in the institutions,,,The Government,36
2025,3. Trust in the institutions,,,The Government,49
2026,3. Trust in the institutions,,,The Government,52
2015,3. Trust in the institutions,,,The Parliament,58
2016,3. Trust in the institutions,,,The Parliament,49
2017,3. Trust in the institutions,,,The Parliament,53
2018,3. Trust in the institutions,,,The Parliament,42
2019,3. Trust in the institutions,,,The Parliament,46
2020,3. Trust in the institutions,,,The Parliament,45
2021,3. Trust in the institutions,,,The Parliament,46
2022,3. Trust in the institutions,,,The Parliament,40
2023,3. Trust in the institutions,,,The Parliament,58
2024,3. Trust in the institutions,,,The Parliament,33
2025,3. Trust in the institutions,,,The Parliament,41
2026,3. Trust in the institutions,,,The Parliament,48
