Year,Sex,Education level,Type of Skill,Value
2011,Both Sexes,Primary,Minimum proficiency in mathematics,78.2
2011,Both Sexes,Primary,Minimum proficiency in reading,63.1
2011,Females,Primary,Minimum proficiency in mathematics,62.3
2011,Females,Primary,Minimum proficiency in reading,81.6
2011,Males,Primary,Minimum proficiency in mathematics,63.9
2011,Males,Primary,Minimum proficiency in reading,75.4
2015,Both Sexes,Lower Secondary,Minimum proficiency in mathematics,70.9
2015,Both Sexes,Lower Secondary,Minimum proficiency in reading,64.4
2015,Females,Lower Secondary,Minimum proficiency in reading,72.1
2015,Males,Lower Secondary,Minimum proficiency in reading,57.0
2016,Both Sexes,Primary,Minimum proficiency in reading,73.2
2016,Females,Primary,Minimum proficiency in reading,77.8
2016,Males,Primary,Minimum proficiency in reading,69.1
2018,Both Sexes,Lower Secondary,Minimum proficiency in mathematics,69.8
2018,Both Sexes,Lower Secondary,Minimum proficiency in reading,64.1
2018,Females,Lower Secondary,Minimum proficiency in reading,74.0
2018,Males,Lower Secondary,Minimum proficiency in reading,55.1
2019,Both Sexes,Primary,Minimum proficiency in mathematics,69.1
2019,Females,Primary,Minimum proficiency in mathematics,68.0
2019,Males,Primary,Minimum proficiency in mathematics,70.1
2021,Both Sexes,Primary,Minimum proficiency in reading,90.24
2021,Females,Primary,Minimum proficiency in reading,91.0
2021,Males,Primary,Minimum proficiency in reading,89.6
2022,Both Sexes,Lower Secondary,Minimum proficiency in mathematics,67.4
2022,Both Sexes,Lower Secondary,Minimum proficiency in reading,63.7
2022,Females,Lower Secondary,Minimum proficiency in mathematics,69.5
2022,Females,Lower Secondary,Minimum proficiency in reading,71.0
2022,Males,Lower Secondary,Minimum proficiency in mathematics,65.4
2022,Males,Lower Secondary,Minimum proficiency in reading,56.8
